mrt_name,stop_id,line,longitude,latitude,town,region
ESPLANADE MRT STATION,CC3,CC,103.8555041,1.293321608,DOWNTOWN CORE,CENTRAL REGION
NICOLL HIGHWAY MRT STATION,CC5,CC,103.863637,1.299766835,DOWNTOWN CORE,CENTRAL REGION
CALDECOTT MRT STATION,CC17,CC,103.8395298,1.337674508,TOA PAYOH,CENTRAL REGION
MARINA BAY MRT STATION,NS27,NS,103.8545978,1.276427355,DOWNTOWN CORE,CENTRAL REGION
MARINA BAY MRT STATION,CE2,CE,103.855094,1.276150637,DOWNTOWN CORE,CENTRAL REGION
LABRADOR PARK MRT STATION,CC27,CC,103.8029396,1.272332732,BUKIT MERAH,CENTRAL REGION
CHINATOWN MRT STATION,NE4,NE,103.8434268,1.284359578,OUTRAM,CENTRAL REGION
CHINATOWN MRT STATION,DT19,DT,103.8444512,1.284748969,OUTRAM,CENTRAL REGION
NEWTON MRT STATION,DT11,DT,103.837811,1.313607102,NEWTON,CENTRAL REGION
TAN KAH KEE MRT STATION,DT8,DT,103.8073222,1.325883209,BUKIT TIMAH,CENTRAL REGION
TIONG BAHRU MRT STATION,EW17,EW,103.8270194,1.286193393,BUKIT MERAH,CENTRAL REGION
HILLVIEW MRT STATION,DT3,DT,103.7674183,1.362344869,BUKIT PANJANG,WEST REGION
KING ALBERT PARK MRT STATION,DT6,DT,103.7838067,1.335665121,BUKIT TIMAH,CENTRAL REGION
MATTAR MRT STATION,DT25,DT,103.8832475,1.326876715,GEYLANG,CENTRAL REGION
UBI MRT STATION,DT27,DT,103.8992525,1.329956826,GEYLANG,CENTRAL REGION
BEAUTY WORLD MRT STATION,DT5,DT,103.7757943,1.341223176,BUKIT TIMAH,CENTRAL REGION
KAKI BUKIT MRT STATION,DT28,DT,103.9084597,1.334967302,BEDOK,EAST REGION
TAMPINES MRT STATION,DT32,DT,103.9430605,1.355077429,TAMPINES,EAST REGION
BEDOK NORTH MRT STATION,DT29,DT,103.9179783,1.334742117,BEDOK,EAST REGION
DHOBY GHAUT MRT STATION,NS24,NS,103.8461152,1.298701307,MUSEUM,CENTRAL REGION
SERANGOON MRT STATION,CC13,CC,103.8723681,1.350595256,SERANGOON,NORTH-EAST REGION
WOODLEIGH MRT STATION,NE11,NE,103.8708183,1.339190046,TOA PAYOH,CENTRAL REGION
NOVENA MRT STATION,NS20,NS,103.8438256,1.320440791,NOVENA,CENTRAL REGION
SERANGOON MRT STATION,NE12,NE,103.8735748,1.349707875,SERANGOON,NORTH-EAST REGION
BEDOK RESERVOIR MRT STATION,DT30,DT,103.9322346,1.33660783,BEDOK,EAST REGION
MARINA SOUTH PIER MRT STATION,NS28,NS,103.8628598,1.271336711,STRAITS VIEW,CENTRAL REGION
FARRER PARK MRT STATION,NE8,NE,103.8541771,1.31235984,ROCHOR,CENTRAL REGION
PAYA LEBAR MRT STATION,CC9,CC,103.8921788,1.317430268,GEYLANG,CENTRAL REGION
BARTLEY MRT STATION,CC12,CC,103.8797589,1.342828338,TOA PAYOH,CENTRAL REGION
DAKOTA MRT STATION,CC8,CC,103.8886626,1.308382639,GEYLANG,CENTRAL REGION
PASIR PANJANG MRT STATION,CC26,CC,103.7913503,1.276213523,QUEENSTOWN,CENTRAL REGION
OUTRAM PARK MRT STATION,NE3,NE,103.8395747,1.279764543,BUKIT MERAH,CENTRAL REGION
CLARKE QUAY MRT STATION,NE5,NE,103.8465552,1.288386024,SINGAPORE RIVER,CENTRAL REGION
BISHAN MRT STATION,NS17,NS,103.848144,1.350838988,BISHAN,CENTRAL REGION
BOTANIC GARDENS MRT STATION,DT9,DT,103.8161317,1.322423979,TANGLIN,CENTRAL REGION
MARYMOUNT MRT STATION,CC16,CC,103.8394231,1.348707263,BISHAN,CENTRAL REGION
HAW PAR VILLA MRT STATION,CC25,CC,103.7818105,1.282542157,QUEENSTOWN,CENTRAL REGION
LORONG CHUAN MRT STATION,CC14,CC,103.8641519,1.351612171,SERANGOON,NORTH-EAST REGION
LAVENDER MRT STATION,EW11,EW,103.8628292,1.30735702,KALLANG,CENTRAL REGION
DHOBY GHAUT MRT STATION,NE6,NE,103.8454882,1.299705459,MUSEUM,CENTRAL REGION
DHOBY GHAUT MRT STATION,CC1,CC,103.8462391,1.298842816,MUSEUM,CENTRAL REGION
TAI SENG MRT STATION,CC11,CC,103.8881949,1.335433322,TOA PAYOH,CENTRAL REGION
ROCHOR MRT STATION,DT13,DT,103.8524217,1.303916484,ROCHOR,CENTRAL REGION
LITTLE INDIA MRT STATION,DT12,DT,103.8485846,1.307198223,KALLANG,CENTRAL REGION
LITTLE INDIA MRT STATION,NE7,NE,103.849647,1.306800025,ROCHOR,CENTRAL REGION
STEVENS MRT STATION,DT10,DT,103.8260244,1.320065557,TANGLIN,CENTRAL REGION
BUKIT PANJANG MRT STATION,DT1,DT,103.7615351,1.379002117,BUKIT BATOK,WEST REGION
CASHEW MRT STATION,DT2,DT,103.7646944,1.369369831,BUKIT PANJANG,WEST REGION
SIXTH AVENUE MRT STATION,DT7,DT,103.7972463,1.330786387,BUKIT TIMAH,CENTRAL REGION
TOA PAYOH MRT STATION,NS19,NS,103.8475018,1.332628987,TOA PAYOH,CENTRAL REGION
WOODLANDS SOUTH MRT STATION,TE3,TE,103.7938509,1.427259979,WOODLANDS,NORTH REGION
POTONG PASIR MRT STATION,NE10,NE,103.8690557,1.331379525,TOA PAYOH,CENTRAL REGION
HOUGANG MRT STATION,NE14,NE,103.8923805,1.371292292,HOUGANG,NORTH-EAST REGION
BOON KENG MRT STATION,NE9,NE,103.8616865,1.319395706,KALLANG,CENTRAL REGION
UPPER CHANGI MRT STATION,DT34,DT,103.9614718,1.341737484,TAMPINES,EAST REGION
CHANGI AIRPORT MRT STATION,CG2,CG,103.9883647,1.357314545,CHANGI,EAST REGION
WOODLANDS MRT STATION,TE2,TE,103.7879308,1.436066981,WOODLANDS,NORTH REGION
BRADDELL MRT STATION,NS18,NS,103.8467978,1.340471684,TOA PAYOH,CENTRAL REGION
BUANGKOK MRT STATION,NE15,NE,103.8931216,1.382877858,SENGKANG,NORTH-EAST REGION
PROMENADE MRT STATION,CC4,CC,103.8609992,1.293218051,DOWNTOWN CORE,CENTRAL REGION
BOTANIC GARDENS MRT STATION,CC19,CC,103.8149828,1.322110193,TANGLIN,CENTRAL REGION
HOLLAND VILLAGE MRT STATION,CC21,CC,103.7961918,1.31183479,BUKIT TIMAH,CENTRAL REGION
OUTRAM PARK MRT STATION,EW16,EW,103.8391265,1.281404978,OUTRAM,CENTRAL REGION
TELOK BLANGAH MRT STATION,CC28,CC,103.8097486,1.270753211,BUKIT MERAH,CENTRAL REGION
TELOK AYER MRT STATION,DT18,DT,103.8483028,1.282289536,OUTRAM,CENTRAL REGION
NEWTON MRT STATION,NS21,NS,103.8379853,1.3123201,NEWTON,CENTRAL REGION
CANBERRA MRT STATION,NS12,NS,103.8297118,1.4431367,SEMBAWANG,NORTH REGION
WOODLANDS NORTH MRT STATION,TE1,TE,103.7856927,1.4482925,WOODLANDS,NORTH REGION
JURONG EAST MRT STATION,EW24 / NS1,EW,103.7422865,1.33315262,JURONG EAST,WEST REGION
JURONG EAST MRT STATION,EW24 / NS1,NS,103.7422865,1.33315262,JURONG EAST,WEST REGION
CITY HALL MRT STATION,EW13 / NS25,EW,103.8525859,1.292936243,DOWNTOWN CORE,CENTRAL REGION
CITY HALL MRT STATION,EW13 / NS25,NS,103.8525859,1.292936243,DOWNTOWN CORE,CENTRAL REGION
HARBOURFRONT MRT STATION,NE1 / CC29,NE,103.8214431,1.26547264,BUKIT MERAH,CENTRAL REGION
HARBOURFRONT MRT STATION,NE1 / CC29,CC,103.8214431,1.26547264,BUKIT MERAH,CENTRAL REGION
BAYFRONT MRT STATION,DT16 / CE1,DT,103.8590798,1.281873788,DOWNTOWN CORE,CENTRAL REGION
BAYFRONT MRT STATION,DT16 / CE1,CE,103.8590798,1.281873788,DOWNTOWN CORE,CENTRAL REGION
RAFFLES PLACE MRT STATION,EW14 / NS26,EW,103.8514617,1.284125611,DOWNTOWN CORE,CENTRAL REGION
RAFFLES PLACE MRT STATION,EW14 / NS26,NS,103.8514617,1.284125611,DOWNTOWN CORE,CENTRAL REGION
PUNGGOL LRT STATION,PTC,PE,103.9024119,1.405194701,PUNGGOL,NORTH-EAST REGION
PUNGGOL LRT STATION,PTC,PW,103.9024119,1.405194701,PUNGGOL,NORTH-EAST REGION
SENGKANG LRT STATION,STC,SE,103.8954426,1.391609364,SENGKANG,NORTH-EAST REGION
SENGKANG LRT STATION,STC,SW,103.8954426,1.391609364,SENGKANG,NORTH-EAST REGION
