street_name,latitude,longitude
KIM KEAT AVE,1.332462567,103.8584326
YISHUN AVE 6,1.430041549,103.8493615
YISHUN AVE 9,1.432051,103.8398995
SILAT AVE,1.276553822,103.8305478
TIONG BAHRU RD,1.285931808,103.8317593
SAGO LANE,1.28144635,103.8438954
ST. GEORGE'S LANE,1.3226143,103.8619902
LIM CHU KANG RD,1.37979565,103.6966968
C'WEALTH AVE,1.3020355,103.7983964
QUEEN'S CL,1.292966095,103.8008342
SERANGOON AVE 3,1.3526151,103.8705025
POTONG PASIR AVE 2,1.332726443,103.867502
WOODLANDS AVE 1,1.428147238,103.7922593
YISHUN AVE 4,1.424189367,103.8401808
LOWER DELTA RD,1.2713093,103.8248719
JLN BERSEH,1.306708422,103.8580679
CHANDER RD,1.307952059,103.8512143
CASSIA CRES,1.309483002,103.8847903
OLD AIRPORT RD,1.306261264,103.8824902
ALJUNIED RD,1.3228875,103.8813156
ALEXANDRA RD,1.291066816,103.8197378
CHIN SWEE RD,1.28840595,103.8412886
SIMS PL,1.318069408,103.879655
HOUGANG AVE 2,1.366960389,103.8893336
HOUGANG AVE 8,1.374802234,103.8978868
SEMBAWANG RD,1.441010798,103.8244398
LIM LIAK ST,1.285268795,103.8315796
JLN TENTERAM,1.32660755,103.8591903
SIN MING AVE,1.361638778,103.8319808
DELTA AVE,1.292065586,103.826897
PIPIT RD,1.323817116,103.8861361
HOUGANG AVE 4,1.368005069,103.8907409
QUEENSWAY,1.287806441,103.8042641
YISHUN ST 61,1.420510752,103.8377391
BISHAN ST 12,1.346189147,103.8526704
JLN MA'MOR,1.327997912,103.8578787
TAMPINES ST 43,1.3617074,103.9513074
BISHAN ST 13,1.3489981,103.8543089
JLN DUSUN,1.3289114,103.8433417
YISHUN AVE 2,1.417861803,103.8336763
JOO CHIAT RD,1.30884315,103.9028243
EAST COAST RD,1.304492211,103.903045
REDHILL RD,1.287527113,103.817107
KIM PONG RD,1.2853899,103.8301208
RACE COURSE RD,1.30718835,103.8499498
KRETA AYER RD,1.281038299,103.8421632
HOUGANG ST 61,1.37468115,103.8869368
TESSENSOHN RD,1.313771054,103.8546056
MARSILING RD,1.437506848,103.7717722
JURONG WEST ST 91,1.3418585,103.6896389
JURONG WEST ST 81,1.344366058,103.6942189
GANGSA RD,1.377934117,103.7663574
MCNAIR RD,1.318674609,103.8574679
YISHUN AVE 7,1.4377907,103.8315363
YISHUN AVE 11,1.424433181,103.8448423
BANGKIT RD,1.37694357,103.7736905
JURONG WEST ST 73,1.3462038,103.6989944
OUTRAM HILL,1.28508805,103.8359447
HOUGANG AVE 6,1.3798908,103.8928972
PASIR RIS ST 12,1.36681925,103.9588815
PENDING RD,1.37586075,103.7708331
PETIR RD,1.378143091,103.7649669
LOR 3 GEYLANG,1.315998389,103.8949972
BISHAN ST 11,1.3486011,103.8473158
PASIR RIS DR 6,1.3742734,103.9562495
BISHAN ST 23,1.356077387,103.8476068
JURONG WEST ST 92,1.34000063,103.6902171
PASIR RIS ST 11,1.365956405,103.956707
YISHUN CTRL,1.42645065,103.8372038
BISHAN ST 22,1.35383359,103.8481453
SIMEI RD,1.34071713,103.9592474
JURONG WEST ST 93,1.337909404,103.6932411
FAJAR RD,1.38448727,103.7705823
CHOA CHU KANG CTRL,1.380605154,103.7478859
PASIR RIS ST 51,1.369454358,103.9519089
HOUGANG ST 52,1.377228102,103.8892179
CASHEW RD,1.373321389,103.770487
TOH YI DR,1.338226665,103.7713317
HOUGANG CTRL,1.3710492,103.8943576
KG KAYU RD,1.301628586,103.8816434
