,mrt_name,stop_id,line,longitude,latitude,SUBZONE_N,town,region
84,GEYLANG BAHRU MRT STATION,DT24,DT,103.8719006,1.321505838,GEYLANG BAHRU,KALLANG,CENTRAL REGION
85,BENDEMEER MRT STATION,DT23,DT,103.862978,1.313672233,KALLANG BAHRU,KALLANG,CENTRAL REGION
86,BENCOOLEN MRT STATION,DT21,DT,103.8503843,1.29886427,VICTORIA,ROCHOR,CENTRAL REGION
87,PROMENADE MRT STATION,DT15,DT,103.860853,1.292891552,MARINA CENTRE,DOWNTOWN CORE,CENTRAL REGION
88,BUGIS MRT STATION,DT14,DT,103.8568683,1.299550746,BUGIS,DOWNTOWN CORE,CENTRAL REGION
89,KENT RIDGE MRT STATION,CC24,CC,103.7846314,1.293462633,NATIONAL UNIVERSITY OF S'PORE,QUEENSTOWN,CENTRAL REGION
90,MACPHERSON MRT STATION,DT26,DT,103.8893506,1.326076883,MACPHERSON,GEYLANG,CENTRAL REGION
91,PUNGGOL MRT STATION,NE17,NE,103.9020726,1.404546728,MATILDA,PUNGGOL,NORTH-EAST REGION
92,TANJONG PAGAR MRT STATION,EW15,EW,103.8458642,1.276521247,TANJONG PAGAR,DOWNTOWN CORE,CENTRAL REGION
93,ONE-NORTH MRT STATION,CC23,CC,103.7874575,1.299759879,ONE NORTH,QUEENSTOWN,CENTRAL REGION
94,BISHAN MRT STATION,CC15,CC,103.8491544,1.35130868,BISHAN EAST,BISHAN,CENTRAL REGION
95,STADIUM MRT STATION,CC6,CC,103.8753503,1.30284063,TANJONG RHU,KALLANG,CENTRAL REGION
96,BUGIS MRT STATION,EW12,EW,103.8557064,1.300465076,VICTORIA,ROCHOR,CENTRAL REGION
97,SOMERSET MRT STATION,NS23,NS,103.8390752,1.300260055,SOMERSET,ORCHARD,CENTRAL REGION
98,ORCHARD MRT STATION,NS22,NS,103.8322415,1.303981012,BOULEVARD,ORCHARD,CENTRAL REGION
99,JALAN BESAR MRT STATION,DT22,DT,103.855477,1.305403642,SUNGEI ROAD,ROCHOR,CENTRAL REGION
100,SENGKANG MRT STATION,NE16,NE,103.8954847,1.391694626,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION
101,BUKIT BROWN MRT STATION,CC18,CC,103.8306896,1.333728882,MOUNT PLEASANT,NOVENA,CENTRAL REGION
102,MOUNTBATTEN MRT STATION,CC7,CC,103.8825281,1.306201905,ALJUNIED,GEYLANG,CENTRAL REGION
103,KOVAN MRT STATION,NE13,NE,103.8850649,1.360179171,KOVAN,HOUGANG,NORTH-EAST REGION
104,FORT CANNING MRT STATION,DT20,DT,103.8443283,1.292478928,CLARKE QUAY,SINGAPORE RIVER,CENTRAL REGION
105,FARRER ROAD MRT STATION,CC20,CC,103.8075861,1.317510612,FARRER COURT,BUKIT TIMAH,CENTRAL REGION
106,EXPO MRT STATION,DT35,DT,103.9623757,1.335382137,XILIN,TAMPINES,EAST REGION
107,DOWNTOWN MRT STATION,DT17,DT,103.8528404,1.27944619,CENTRAL SUBZONE,DOWNTOWN CORE,CENTRAL REGION
108,BUONA VISTA MRT STATION,CC22,CC,103.7906534,1.306491669,ONE NORTH,QUEENSTOWN,CENTRAL REGION
109,ESPLANADE MRT STATION,CC3,CC,103.8555041,1.293321608,CITY HALL,DOWNTOWN CORE,CENTRAL REGION
110,NICOLL HIGHWAY MRT STATION,CC5,CC,103.863637,1.299766835,NICOLL,DOWNTOWN CORE,CENTRAL REGION
111,CALDECOTT MRT STATION,CC17,CC,103.8395298,1.337674508,TOA PAYOH WEST,TOA PAYOH,CENTRAL REGION
112,MARINA BAY MRT STATION,NS27,NS,103.8545978,1.276427355,CENTRAL SUBZONE,DOWNTOWN CORE,CENTRAL REGION
113,MARINA BAY MRT STATION,CE2,CE,103.855094,1.276150637,CENTRAL SUBZONE,DOWNTOWN CORE,CENTRAL REGION
114,LABRADOR PARK MRT STATION,CC27,CC,103.8029396,1.272332732,MARITIME SQUARE,BUKIT MERAH,CENTRAL REGION
115,CHINATOWN MRT STATION,NE4,NE,103.8434268,1.284359578,CHINATOWN,OUTRAM,CENTRAL REGION
116,CHINATOWN MRT STATION,DT19,DT,103.8444512,1.284748969,CHINA SQUARE,OUTRAM,CENTRAL REGION
117,NEWTON MRT STATION,DT11,DT,103.837811,1.313607102,NEWTON CIRCUS,NEWTON,CENTRAL REGION
118,TAN KAH KEE MRT STATION,DT8,DT,103.8073222,1.325883209,CORONATION ROAD,BUKIT TIMAH,CENTRAL REGION
119,TIONG BAHRU MRT STATION,EW17,EW,103.8270194,1.286193393,TIONG BAHRU STATION,BUKIT MERAH,CENTRAL REGION
120,HILLVIEW MRT STATION,DT3,DT,103.7674183,1.362344869,NATURE RESERVE,BUKIT PANJANG,WEST REGION
121,KING ALBERT PARK MRT STATION,DT6,DT,103.7838067,1.335665121,HOLLAND ROAD,BUKIT TIMAH,CENTRAL REGION
122,MATTAR MRT STATION,DT25,DT,103.8832475,1.326876715,MACPHERSON,GEYLANG,CENTRAL REGION
123,UBI MRT STATION,DT27,DT,103.8992525,1.329956826,KAMPONG UBI,GEYLANG,CENTRAL REGION
124,BEAUTY WORLD MRT STATION,DT5,DT,103.7757943,1.341223176,ANAK BUKIT,BUKIT TIMAH,CENTRAL REGION
125,KAKI BUKIT MRT STATION,DT28,DT,103.9084597,1.334967302,KAKI BUKIT,BEDOK,EAST REGION
126,TAMPINES MRT STATION,DT32,DT,103.9430605,1.355077429,TAMPINES EAST,TAMPINES,EAST REGION
127,BEDOK NORTH MRT STATION,DT29,DT,103.9179783,1.334742117,KAKI BUKIT,BEDOK,EAST REGION
128,DHOBY GHAUT MRT STATION,NS24,NS,103.8461152,1.298701307,DHOBY GHAUT,MUSEUM,CENTRAL REGION
129,SERANGOON MRT STATION,CC13,CC,103.8723681,1.350595256,SERANGOON CENTRAL,SERANGOON,NORTH-EAST REGION
130,WOODLEIGH MRT STATION,NE11,NE,103.8708183,1.339190046,BIDADARI,TOA PAYOH,CENTRAL REGION
131,NOVENA MRT STATION,NS20,NS,103.8438256,1.320440791,MOULMEIN,NOVENA,CENTRAL REGION
132,SERANGOON MRT STATION,NE12,NE,103.8735748,1.349707875,SERANGOON CENTRAL,SERANGOON,NORTH-EAST REGION
133,BEDOK RESERVOIR MRT STATION,DT30,DT,103.9322346,1.33660783,BEDOK RESERVOIR,BEDOK,EAST REGION
134,MARINA SOUTH PIER MRT STATION,NS28,NS,103.8628598,1.271336711,STRAITS VIEW,STRAITS VIEW,CENTRAL REGION
135,FARRER PARK MRT STATION,NE8,NE,103.8541771,1.31235984,FARRER PARK,ROCHOR,CENTRAL REGION
136,PAYA LEBAR MRT STATION,CC9,CC,103.8921788,1.317430268,GEYLANG EAST,GEYLANG,CENTRAL REGION
137,BARTLEY MRT STATION,CC12,CC,103.8797589,1.342828338,BIDADARI,TOA PAYOH,CENTRAL REGION
138,DAKOTA MRT STATION,CC8,CC,103.8886626,1.308382639,ALJUNIED,GEYLANG,CENTRAL REGION
139,PASIR PANJANG MRT STATION,CC26,CC,103.7913503,1.276213523,PORT,QUEENSTOWN,CENTRAL REGION
140,OUTRAM PARK MRT STATION,NE3,NE,103.8395747,1.279764543,SINGAPORE GENERAL HOSPITAL,BUKIT MERAH,CENTRAL REGION
141,CLARKE QUAY MRT STATION,NE5,NE,103.8465552,1.288386024,CLARKE QUAY,SINGAPORE RIVER,CENTRAL REGION
142,BISHAN MRT STATION,NS17,NS,103.848144,1.350838988,BISHAN EAST,BISHAN,CENTRAL REGION
143,BOTANIC GARDENS MRT STATION,DT9,DT,103.8161317,1.322423979,TYERSALL,TANGLIN,CENTRAL REGION
144,MARYMOUNT MRT STATION,CC16,CC,103.8394231,1.348707263,UPPER THOMSON,BISHAN,CENTRAL REGION
145,HAW PAR VILLA MRT STATION,CC25,CC,103.7818105,1.282542157,PASIR PANJANG 1,QUEENSTOWN,CENTRAL REGION
146,LORONG CHUAN MRT STATION,CC14,CC,103.8641519,1.351612171,LORONG CHUAN,SERANGOON,NORTH-EAST REGION
147,LAVENDER MRT STATION,EW11,EW,103.8628292,1.30735702,LAVENDER,KALLANG,CENTRAL REGION
148,DHOBY GHAUT MRT STATION,NE6,NE,103.8454882,1.299705459,DHOBY GHAUT,MUSEUM,CENTRAL REGION
149,DHOBY GHAUT MRT STATION,CC1,CC,103.8462391,1.298842816,DHOBY GHAUT,MUSEUM,CENTRAL REGION
150,TAI SENG MRT STATION,CC11,CC,103.8881949,1.335433322,JOO SENG,TOA PAYOH,CENTRAL REGION
151,ROCHOR MRT STATION,DT13,DT,103.8524217,1.303916484,BENCOOLEN,ROCHOR,CENTRAL REGION
152,LITTLE INDIA MRT STATION,DT12,DT,103.8485846,1.307198223,KAMPONG JAVA,KALLANG,CENTRAL REGION
153,LITTLE INDIA MRT STATION,NE7,NE,103.849647,1.306800025,FARRER PARK,ROCHOR,CENTRAL REGION
154,STEVENS MRT STATION,DT10,DT,103.8260244,1.320065557,NASSIM,TANGLIN,CENTRAL REGION
155,BUKIT PANJANG MRT STATION,DT1,DT,103.7615351,1.379002117,GOMBAK,BUKIT BATOK,WEST REGION
156,CASHEW MRT STATION,DT2,DT,103.7646944,1.369369831,DAIRY FARM,BUKIT PANJANG,WEST REGION
157,SIXTH AVENUE MRT STATION,DT7,DT,103.7972463,1.330786387,CORONATION ROAD,BUKIT TIMAH,CENTRAL REGION
158,TOA PAYOH MRT STATION,NS19,NS,103.8475018,1.332628987,TOA PAYOH CENTRAL,TOA PAYOH,CENTRAL REGION
159,WOODLANDS SOUTH MRT STATION,TE3,TE,103.7938509,1.427259979,WOODLANDS SOUTH,WOODLANDS,NORTH REGION
160,POTONG PASIR MRT STATION,NE10,NE,103.8690557,1.331379525,POTONG PASIR,TOA PAYOH,CENTRAL REGION
161,HOUGANG MRT STATION,NE14,NE,103.8923805,1.371292292,HOUGANG CENTRAL,HOUGANG,NORTH-EAST REGION
162,BOON KENG MRT STATION,NE9,NE,103.8616865,1.319395706,BENDEMEER,KALLANG,CENTRAL REGION
163,UPPER CHANGI MRT STATION,DT34,DT,103.9614718,1.341737484,SIMEI,TAMPINES,EAST REGION
164,CHANGI AIRPORT MRT STATION,CG2,CG,103.9883647,1.357314545,CHANGI AIRPORT,CHANGI,EAST REGION
165,WOODLANDS MRT STATION,TE2,TE,103.7879308,1.436066981,WOODLANDS REGIONAL CENTRE,WOODLANDS,NORTH REGION
166,BRADDELL MRT STATION,NS18,NS,103.8467978,1.340471684,TOA PAYOH WEST,TOA PAYOH,CENTRAL REGION
167,BUANGKOK MRT STATION,NE15,NE,103.8931216,1.382877858,COMPASSVALE,SENGKANG,NORTH-EAST REGION
168,PROMENADE MRT STATION,CC4,CC,103.8609992,1.293218051,MARINA CENTRE,DOWNTOWN CORE,CENTRAL REGION
169,BOTANIC GARDENS MRT STATION,CC19,CC,103.8149828,1.322110193,TYERSALL,TANGLIN,CENTRAL REGION
170,HOLLAND VILLAGE MRT STATION,CC21,CC,103.7961918,1.31183479,LEEDON PARK,BUKIT TIMAH,CENTRAL REGION
171,OUTRAM PARK MRT STATION,EW16,EW,103.8391265,1.281404978,PEOPLE'S PARK,OUTRAM,CENTRAL REGION
172,TELOK BLANGAH MRT STATION,CC28,CC,103.8097486,1.270753211,MARITIME SQUARE,BUKIT MERAH,CENTRAL REGION
173,TELOK AYER MRT STATION,DT18,DT,103.8483028,1.282289536,CHINATOWN,OUTRAM,CENTRAL REGION
174,NEWTON MRT STATION,NS21,NS,103.8379853,1.3123201,NEWTON CIRCUS,NEWTON,CENTRAL REGION
175,CANBERRA MRT STATION,NS12,NS,103.8297118,1.4431367,SEMBAWANG SPRINGS,SEMBAWANG,NORTH REGION
176,WOODLANDS NORTH MRT STATION,TE1,TE,103.7856927,1.4482925,GREENWOOD PARK,WOODLANDS,NORTH REGION
177,JURONG EAST MRT STATION,EW24 / NS1,EW,103.7422865,1.33315262,JURONG GATEWAY,JURONG EAST,WEST REGION
178,JURONG EAST MRT STATION,EW24 / NS1,NS,103.7422865,1.33315262,JURONG GATEWAY,JURONG EAST,WEST REGION
179,CITY HALL MRT STATION,EW13 / NS25,EW,103.8525859,1.292936243,CITY HALL,DOWNTOWN CORE,CENTRAL REGION
180,CITY HALL MRT STATION,EW13 / NS25,NS,103.8525859,1.292936243,CITY HALL,DOWNTOWN CORE,CENTRAL REGION
181,HARBOURFRONT MRT STATION,NE1 / CC29,NE,103.8214431,1.26547264,MARITIME SQUARE,BUKIT MERAH,CENTRAL REGION
182,HARBOURFRONT MRT STATION,NE1 / CC29,CC,103.8214431,1.26547264,MARITIME SQUARE,BUKIT MERAH,CENTRAL REGION
183,BAYFRONT MRT STATION,DT16 / CE1,DT,103.8590798,1.281873788,BAYFRONT SUBZONE,DOWNTOWN CORE,CENTRAL REGION
184,BAYFRONT MRT STATION,DT16 / CE1,CE,103.8590798,1.281873788,BAYFRONT SUBZONE,DOWNTOWN CORE,CENTRAL REGION
185,RAFFLES PLACE MRT STATION,EW14 / NS26,EW,103.8514617,1.284125611,RAFFLES PLACE,DOWNTOWN CORE,CENTRAL REGION
186,RAFFLES PLACE MRT STATION,EW14 / NS26,NS,103.8514617,1.284125611,RAFFLES PLACE,DOWNTOWN CORE,CENTRAL REGION
187,PUNGGOL LRT STATION,PTC,PE,103.9024119,1.405194701,PUNGGOL TOWN CENTRE,PUNGGOL,NORTH-EAST REGION
188,PUNGGOL LRT STATION,PTC,PW,103.9024119,1.405194701,PUNGGOL TOWN CENTRE,PUNGGOL,NORTH-EAST REGION
189,SENGKANG LRT STATION,STC,SE,103.8954426,1.391609364,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION
190,SENGKANG LRT STATION,STC,SW,103.8954426,1.391609364,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION
191,MACPHERSON MRT STATION,CC10,CE,103.890287,1.326345372,MACPHERSON,GEYLANG,CENTRAL REGION
192,KENT RIDGE MRT STATION,CC24,CE,103.7846314,1.293462633,NATIONAL UNIVERSITY OF S'PORE,QUEENSTOWN,CENTRAL REGION
193,ONE-NORTH MRT STATION,CC23,CE,103.7874575,1.299759879,ONE NORTH,QUEENSTOWN,CENTRAL REGION
194,BISHAN MRT STATION,CC15,CE,103.8491544,1.35130868,BISHAN EAST,BISHAN,CENTRAL REGION
195,STADIUM MRT STATION,CC6,CE,103.8753503,1.30284063,TANJONG RHU,KALLANG,CENTRAL REGION
196,BUKIT BROWN MRT STATION,CC18,CE,103.8306896,1.333728882,MOUNT PLEASANT,NOVENA,CENTRAL REGION
197,MOUNTBATTEN MRT STATION,CC7,CE,103.8825281,1.306201905,ALJUNIED,GEYLANG,CENTRAL REGION
198,FARRER ROAD MRT STATION,CC20,CE,103.8075861,1.317510612,FARRER COURT,BUKIT TIMAH,CENTRAL REGION
199,BUONA VISTA MRT STATION,CC22,CE,103.7906534,1.306491669,ONE NORTH,QUEENSTOWN,CENTRAL REGION
200,NICOLL HIGHWAY MRT STATION,CC5,CE,103.863637,1.299766835,NICOLL,DOWNTOWN CORE,CENTRAL REGION
201,CALDECOTT MRT STATION,CC17,CE,103.8395298,1.337674508,TOA PAYOH WEST,TOA PAYOH,CENTRAL REGION
202,LABRADOR PARK MRT STATION,CC27,CE,103.8029396,1.272332732,MARITIME SQUARE,BUKIT MERAH,CENTRAL REGION
203,SERANGOON MRT STATION,CC13,CE,103.8723681,1.350595256,SERANGOON CENTRAL,SERANGOON,NORTH-EAST REGION
204,PAYA LEBAR MRT STATION,CC9,CE,103.8921788,1.317430268,GEYLANG EAST,GEYLANG,CENTRAL REGION
205,BARTLEY MRT STATION,CC12,CE,103.8797589,1.342828338,BIDADARI,TOA PAYOH,CENTRAL REGION
206,DAKOTA MRT STATION,CC8,CE,103.8886626,1.308382639,ALJUNIED,GEYLANG,CENTRAL REGION
207,PASIR PANJANG MRT STATION,CC26,CE,103.7913503,1.276213523,PORT,QUEENSTOWN,CENTRAL REGION
